id,slug,created_at,updated_at,preview_image,preview_video,parameters,prompt_template,status,is_hot,category,display_order,locale,page_title,page_description,content,credits_required,effect_type,pixverse_template_id,max_images,preview_thumbnail,preview_gif,title
05cbba30-27af-4db9-8ceb-508c0ec4034e,my-girlfriendssss,2025-08-30 10:21:02.505+00,2025-08-31 10:44:34.862199+00,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_yourgirls_250716.png,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_yourgirls_250716.mp4,"{""duration"": 5, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""max_images"": 1}",My Girlfriendssss,online,true,viral,0,en,My Girlfriendssss: Multiple Beautiful Admirers Video,Transform your photo into a fantasy with multiple beautiful admirers. Create romantic dream sequences for free with Veo3 AI!,"{""cta"": {""title"": ""Ready to Create Your My Girlfriendssss Video?"", ""buttonText"": ""Try My Girlfriendssss Free""}, ""faq"": [{""answer"": ""Veo3 AI's My Girlfriendssss effect supports JPG, PNG, or WebP images featuring people. Clear, high-resolution photos with good lighting ensure the best results."", ""question"": ""What types of photos work for My Girlfriendssss?""}, {""answer"": ""Veo3 AI creates a 5-second video by applying the My Girlfriendssss transformation to your uploaded photo, generating cinematic, high-quality visuals with seamless AI processing."", ""question"": ""How does the My Girlfriendssss effect work?""}, {""answer"": ""Yes, Veo3 AI's My Girlfriendssss effect is free to try! Upload your photo and our AI crafts a stunning 5-second video, ready for instant download and sharing."", ""question"": ""Can I try the My Girlfriendssss effect for free?""}, {""answer"": ""We support JPG, PNG, and WebP formats. For optimal results, use high-resolution images with clear subjects and good lighting."", ""question"": ""What file formats are supported?""}], ""seo"": {""title"": ""My Girlfriendssss AI Video Effect - Multiple beautiful girls kissing scene"", ""description"": ""Create amazing my girlfriendssss videos with AI. Transform your photos into multiple beautiful girls kissing scene effects for free with Veo3 AI!""}, ""tips"": [{""title"": ""Best Image Quality"", ""description"": ""Use high-resolution images with good lighting for optimal My Girlfriendssss results.""}, {""title"": ""Perfect Subject"", ""description"": ""Make sure your subject is clearly visible and well-positioned in the frame.""}, {""title"": ""Creative Results"", ""description"": ""Experiment with different images to discover unique My Girlfriendssss variations!""}], ""howToUse"": {""steps"": [{""title"": ""Upload Your Image"", ""number"": 1, ""description"": ""Choose a high-quality image that will work best with the My Girlfriendssss effect.""}, {""title"": ""Apply the Effect"", ""number"": 2, ""description"": ""Our AI will automatically process your image and apply the My Girlfriendssss transformation.""}, {""title"": ""Download Your Video"", ""number"": 3, ""description"": ""Preview and download your amazing My Girlfriendssss video in high quality.""}]}, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""chinese_name"": """", ""is_first_batch"": true, ""technicalSpecs"": {""outputSpecs"": {""Audio"": ""Optional background music"", ""Format"": ""MP4"", ""Frame Rate"": ""30fps"", ""Aspect Ratio"": ""Various ratios supported""}, ""effectDetails"": {""Quality"": ""360p, 540p, 720p, 1080p"", ""Duration"": ""5 seconds (variable)"", ""Subject Type"": ""人物"", ""Subject Count"": ""1人最佳"", ""Processing Time"": ""~12 seconds""}}, ""is_fixed_duration"": false, ""usage_instructions"": ""主体类型：人物\n主体数量：1人最佳"", ""processing_time_360p"": 12}",10,pixverse_template,349232644550272,1,https://r2.veo3ai.io/effects-optimized/my-girlfriendssss_cover.webp?v=1756603087357,https://r2.veo3ai.io/effects-optimized/my-girlfriendssss_preview.gif?v=1756600362677,My Girlfriendssss
0cf9e067-dfe2-406b-848b-1f86cbc8ad11,paw-princess,2025-08-30 10:21:02.505+00,2025-08-31 10:44:34.862199+00,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_dresspet_250401.png,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_dresspet_250401.mp4,"{""duration"": 5, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""max_images"": 1}",Paw Princess,online,true,cute-pets,0,en,Paw Princess: Pet in Princess Dress Video,Dress your adorable pet in a beautiful princess gown. Create charming pet fashion videos for free with Veo3 AI!,"{""cta"": {""title"": ""Ready to Create Your Paw Princess Video?"", ""buttonText"": ""Try Paw Princess Free""}, ""faq"": [{""answer"": ""Veo3 AI's Paw Princess effect supports JPG, PNG, or WebP images featuring people and animals. Clear, high-resolution photos with good lighting ensure the best results."", ""question"": ""What types of photos work for Paw Princess?""}, {""answer"": ""Veo3 AI creates a 5-second video by applying the Paw Princess transformation to your uploaded photo, generating cinematic, high-quality visuals with seamless AI processing."", ""question"": ""How does the Paw Princess effect work?""}, {""answer"": ""Yes, Veo3 AI's Paw Princess effect is free to try! Upload your photo and our AI crafts a stunning 5-second video, ready for instant download and sharing."", ""question"": ""Can I try the Paw Princess effect for free?""}, {""answer"": ""We support JPG, PNG, and WebP formats. For optimal results, use high-resolution images with clear subjects and good lighting."", ""question"": ""What file formats are supported?""}], ""seo"": {""title"": ""Paw Princess AI Video Effect - Dress your pet in a beautiful princess gown"", ""description"": ""Create amazing paw princess videos with AI. Transform your photos into dress your pet in a beautiful princess gown effects for free with Veo3 AI!""}, ""tips"": [{""title"": ""Best Image Quality"", ""description"": ""Use high-resolution images with good lighting for optimal Paw Princess results.""}, {""title"": ""Perfect Subject"", ""description"": ""Make sure your subject is clearly visible and well-positioned in the frame.""}, {""title"": ""Creative Results"", ""description"": ""Experiment with different images to discover unique Paw Princess variations!""}], ""howToUse"": {""steps"": [{""title"": ""Upload Your Image"", ""number"": 1, ""description"": ""Choose a high-quality image that will work best with the Paw Princess effect.""}, {""title"": ""Apply the Effect"", ""number"": 2, ""description"": ""Our AI will automatically process your image and apply the Paw Princess transformation.""}, {""title"": ""Download Your Video"", ""number"": 3, ""description"": ""Preview and download your amazing Paw Princess video in high quality.""}]}, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""chinese_name"": """", ""is_first_batch"": true, ""technicalSpecs"": {""outputSpecs"": {""Audio"": ""Optional background music"", ""Format"": ""MP4"", ""Frame Rate"": ""30fps"", ""Aspect Ratio"": ""Various ratios supported""}, ""effectDetails"": {""Quality"": ""360p, 540p, 720p, 1080p"", ""Duration"": ""5 seconds (variable)"", ""Subject Type"": ""人物&动物"", ""Subject Count"": ""1人最佳"", ""Processing Time"": ""~11 seconds""}}, ""is_fixed_duration"": false, ""usage_instructions"": ""主体类型：人物&动物\n主体数量：1人最佳"", ""processing_time_360p"": 11}",10,pixverse_template,330448062595520,1,https://r2.veo3ai.io/effects-optimized/paw-princess_cover.webp?v=1756603090020,https://r2.veo3ai.io/effects-optimized/paw-princess_preview.gif?v=1756600362677,Paw Princess
11aca95b-dd3b-4a44-b552-15edb0ead973,ai-hug,2025-08-25 09:01:49.743409+00,2025-08-30 09:58:52.896444+00,https://images.unsplash.com/photo-1542596768-5d1d21f1cf98?w=400&h=300&fit=crop,https://r2.veo3ai.io/effects/ai-hug.mp4,{},"Generate a warm, emotional hug scene. Focus on genuine emotion, natural body language, and creating a heartfelt moment.",created,false,Interaction,4,en,Warm AI Hug Videos | Veo3 AI,Generate heartwarming hug scenes from your photos. Perfect for expressing love and connection.,"{""hero"": {""title"": ""Spread the Warmth"", ""features"": [""Emotional depth"", ""Natural movement"", ""Warm atmosphere""], ""subtitle"": ""Create emotional hug moments""}}",20,hailuo_prompt,,1,,,
1e4731cd-6fba-4bd3-94c2-bb14aa6c5b11,muscle-max-bodybuilder-champion,2025-08-30 10:21:02.505+00,2025-08-31 10:44:34.862199+00,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscleplus_250723.jpg,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscleplus_250723.mp4,"{""duration"": 5, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""max_images"": 1}",Muscle Max: Bodybuilder Champion,online,true,viral,0,en,Muscle Max: Instant Bodybuilder Transformation,Watch as your photo transforms into a muscular bodybuilder champion. Create impressive muscle transformation videos for free with Veo3 AI!,"{""cta"": {""title"": ""Ready to Create Your Muscle Max: Bodybuilder Champion Video?"", ""buttonText"": ""Try Muscle Max: Bodybuilder Champion Free""}, ""faq"": [{""answer"": ""Veo3 AI's Muscle Max: Bodybuilder Champion effect supports JPG, PNG, or WebP images featuring people. Clear, high-resolution photos with good lighting ensure the best results."", ""question"": ""What types of photos work for Muscle Max: Bodybuilder Champion?""}, {""answer"": ""Veo3 AI creates a 5-second video by applying the Muscle Max: Bodybuilder Champion transformation to your uploaded photo, generating cinematic, high-quality visuals with seamless AI processing."", ""question"": ""How does the Muscle Max: Bodybuilder Champion effect work?""}, {""answer"": ""Yes, Veo3 AI's Muscle Max: Bodybuilder Champion effect is free to try! Upload your photo and our AI crafts a stunning 5-second video, ready for instant download and sharing."", ""question"": ""Can I try the Muscle Max: Bodybuilder Champion effect for free?""}, {""answer"": ""We support JPG, PNG, and WebP formats. For optimal results, use high-resolution images with clear subjects and good lighting."", ""question"": ""What file formats are supported?""}], ""seo"": {""title"": ""Muscle Max: Bodybuilder Champion AI Video Effect - Transform into muscular bodybuilder physique"", ""description"": ""Create amazing muscle max: bodybuilder champion videos with AI. Transform your photos into transform into muscular bodybuilder physique effects for free with Veo3 AI!""}, ""tips"": [{""title"": ""Best Image Quality"", ""description"": ""Use high-resolution images with good lighting for optimal Muscle Max: Bodybuilder Champion results.""}, {""title"": ""Perfect Subject"", ""description"": ""Make sure your subject is clearly visible and well-positioned in the frame.""}, {""title"": ""Creative Results"", ""description"": ""Experiment with different images to discover unique Muscle Max: Bodybuilder Champion variations!""}], ""howToUse"": {""steps"": [{""title"": ""Upload Your Image"", ""number"": 1, ""description"": ""Choose a high-quality image that will work best with the Muscle Max: Bodybuilder Champion effect.""}, {""title"": ""Apply the Effect"", ""number"": 2, ""description"": ""Our AI will automatically process your image and apply the Muscle Max: Bodybuilder Champion transformation.""}, {""title"": ""Download Your Video"", ""number"": 3, ""description"": ""Preview and download your amazing Muscle Max: Bodybuilder Champion video in high quality.""}]}, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""chinese_name"": """", ""is_first_batch"": true, ""technicalSpecs"": {""outputSpecs"": {""Audio"": ""Optional background music"", ""Format"": ""MP4"", ""Frame Rate"": ""30fps"", ""Aspect Ratio"": ""Various ratios supported""}, ""effectDetails"": {""Quality"": ""360p, 540p, 720p, 1080p"", ""Duration"": ""5 seconds (variable)"", ""Subject Type"": ""人物"", ""Subject Count"": ""1人最佳"", ""Processing Time"": ""~15 seconds""}}, ""is_fixed_duration"": false, ""usage_instructions"": ""主体类型：人物\n主体数量：1人最佳"", ""processing_time_360p"": 15}",10,pixverse_template,350496364287680,1,https://r2.veo3ai.io/effects-optimized/muscle-max-bodybuilder-champion_cover.webp?v=1756603084322,https://r2.veo3ai.io/effects-optimized/muscle-max-bodybuilder-champion_preview.gif?v=1756600362677,Muscle Max: Bodybuilder Champion
22496abd-873e-4844-9621-e8ba9e458e2b,kitten-hide-and-seek,2025-08-30 10:21:02.504+00,2025-08-31 10:44:34.862199+00,https://media.pixverse.ai/asset/template/web_250815_2.jpg,https://media.pixverse.ai/asset/template/web_250815_2.mp4,"{""duration"": 6, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""max_images"": 1}",Kitten Hide and Seek,online,true,other,0,en,Kitten Hide and Seek: Reveal Multiple Cats Magic Video,Transform your image into a magical video where opening reveals multiple adorable kittens. Create surprising cat transformation clips for free with Veo3 AI!,"{""cta"": {""title"": ""Ready to Create Your Kitten Hide and Seek Video?"", ""buttonText"": ""Try Kitten Hide and Seek Free""}, ""faq"": [{""answer"": ""Veo3 AI's Kitten Hide and Seek effect supports JPG, PNG, or WebP images featuring any subjects. Clear, high-resolution photos with good lighting ensure the best results."", ""question"": ""What types of photos work for Kitten Hide and Seek?""}, {""answer"": ""Veo3 AI creates a 6-second video by applying the Kitten Hide and Seek transformation to your uploaded photo, generating cinematic, high-quality visuals with seamless AI processing."", ""question"": ""How does the Kitten Hide and Seek effect work?""}, {""answer"": ""Yes, Veo3 AI's Kitten Hide and Seek effect is free to try! Upload your photo and our AI crafts a stunning 6-second video, ready for instant download and sharing."", ""question"": ""Can I try the Kitten Hide and Seek effect for free?""}, {""answer"": ""We support JPG, PNG, and WebP formats. For optimal results, use high-resolution images with clear subjects and good lighting."", ""question"": ""What file formats are supported?""}], ""seo"": {""title"": ""Kitten Hide and Seek AI Video Effect - Transform objects into adorable kittens"", ""description"": ""Create amazing kitten hide and seek videos with AI. Transform your photos into transform objects into adorable kittens effects for free with Veo3 AI!""}, ""tips"": [{""title"": ""Best Image Quality"", ""description"": ""Use high-resolution images with good lighting for optimal Kitten Hide and Seek results.""}, {""title"": ""Perfect Subject"", ""description"": ""Make sure your subject is clearly visible and well-positioned in the frame.""}, {""title"": ""Creative Results"", ""description"": ""Experiment with different images to discover unique Kitten Hide and Seek variations!""}], ""howToUse"": {""steps"": [{""title"": ""Upload Your Image"", ""number"": 1, ""description"": ""Choose a high-quality image that will work best with the Kitten Hide and Seek effect.""}, {""title"": ""Apply the Effect"", ""number"": 2, ""description"": ""Our AI will automatically process your image and apply the Kitten Hide and Seek transformation.""}, {""title"": ""Download Your Video"", ""number"": 3, ""description"": ""Preview and download your amazing Kitten Hide and Seek video in high quality.""}]}, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""chinese_name"": """", ""is_first_batch"": true, ""technicalSpecs"": {""outputSpecs"": {""Audio"": ""Optional background music"", ""Format"": ""MP4"", ""Frame Rate"": ""30fps"", ""Aspect Ratio"": ""Various ratios supported""}, ""effectDetails"": {""Quality"": ""360p, 540p, 720p, 1080p"", ""Duration"": ""6 seconds (variable)"", ""Subject Type"": ""不限"", ""Subject Count"": ""1个最佳"", ""Processing Time"": ""15-30 seconds""}}, ""is_fixed_duration"": false, ""usage_instructions"": ""主体类型：不限\n主体数量：1个最佳"", ""processing_time_360p"": null}",10,pixverse_template,354568167143040,1,https://r2.veo3ai.io/effects-optimized/kitten-hide-and-seek_cover.webp?v=1756603078623,https://r2.veo3ai.io/effects-optimized/kitten-hide-and-seek_preview.gif?v=1756600362677,Kitten Hide and Seek
2847058d-d8a1-4c8e-af27-8447dae11d47,fun-ai-twerk-dance,2025-08-26 06:34:31.081068+00,2025-08-31 01:17:53.508063+00,https://images.unsplash.com/photo-1504609813442-a8924e83f76e?w=800&auto=format&fit=crop,https://videocdn.pollo.ai/web-cdn/pollo/production/cmdfauqr805vitb2pm8oo46ho/video/1754902457624-94359bc8-2e4e-4999-80e4-50598148216b.mp4,{},"Fun twerk dance with {{USER_PROMPT}}, energetic movement, party atmosphere",created,true,fun,5,en,Fun AI Twerk Dance,Add fun twerk dance moves to any character,,25,hailuo_prompt,,1,https://r2.veo3ai.io/effects-optimized/fun-ai-twerk-dance_cover.webp?v=1756603073097,https://r2.veo3ai.io/effects-optimized/fun-ai-twerk-dance_preview.gif?v=1756600362677,
2fd0155b-ce79-4a47-b6bc-bc5f2f7efc7b,360-microwave,2025-08-30 10:21:02.505+00,2025-08-31 10:44:34.862199+00,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_360_250227.png,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_360_250227.mp4,"{""duration"": 5, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""max_images"": 1}",360° Microwave,online,true,viral,0,en,360° Microwave: Full Rotation Display Effect,Showcase your subject with a smooth 360-degree rotation like in a display case. Create product showcase videos for free with Veo3 AI!,"{""cta"": {""title"": ""Ready to Create Your 360° Microwave Video?"", ""buttonText"": ""Try 360° Microwave Free""}, ""faq"": [{""answer"": ""Veo3 AI's 360° Microwave effect supports JPG, PNG, or WebP images featuring people and animals. Clear, high-resolution photos with good lighting ensure the best results."", ""question"": ""What types of photos work for 360° Microwave?""}, {""answer"": ""Veo3 AI creates a 5-second video by applying the 360° Microwave transformation to your uploaded photo, generating cinematic, high-quality visuals with seamless AI processing."", ""question"": ""How does the 360° Microwave effect work?""}, {""answer"": ""Yes, Veo3 AI's 360° Microwave effect is free to try! Upload your photo and our AI crafts a stunning 5-second video, ready for instant download and sharing."", ""question"": ""Can I try the 360° Microwave effect for free?""}, {""answer"": ""We support JPG, PNG, and WebP formats. For optimal results, use high-resolution images with clear subjects and good lighting."", ""question"": ""What file formats are supported?""}], ""seo"": {""title"": ""360° Microwave AI Video Effect - Full 360-degree rotation display effect"", ""description"": ""Create amazing 360° microwave videos with AI. Transform your photos into full 360-degree rotation display effect effects for free with Veo3 AI!""}, ""tips"": [{""title"": ""Best Image Quality"", ""description"": ""Use high-resolution images with good lighting for optimal 360° Microwave results.""}, {""title"": ""Perfect Subject"", ""description"": ""Make sure your subject is clearly visible and well-positioned in the frame.""}, {""title"": ""Creative Results"", ""description"": ""Experiment with different images to discover unique 360° Microwave variations!""}], ""howToUse"": {""steps"": [{""title"": ""Upload Your Image"", ""number"": 1, ""description"": ""Choose a high-quality image that will work best with the 360° Microwave effect.""}, {""title"": ""Apply the Effect"", ""number"": 2, ""description"": ""Our AI will automatically process your image and apply the 360° Microwave transformation.""}, {""title"": ""Download Your Video"", ""number"": 3, ""description"": ""Preview and download your amazing 360° Microwave video in high quality.""}]}, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""chinese_name"": """", ""is_first_batch"": true, ""technicalSpecs"": {""outputSpecs"": {""Audio"": ""Optional background music"", ""Format"": ""MP4"", ""Frame Rate"": ""30fps"", ""Aspect Ratio"": ""Various ratios supported""}, ""effectDetails"": {""Quality"": ""360p, 540p, 720p, 1080p"", ""Duration"": ""5 seconds (variable)"", ""Subject Type"": ""人物&动物"", ""Subject Count"": ""1人最佳"", ""Processing Time"": ""~12 seconds""}}, ""is_fixed_duration"": false, ""usage_instructions"": ""主体类型：人物&动物\n主体数量：1人最佳"", ""processing_time_360p"": 12}",10,pixverse_template,324641385496960,1,https://r2.veo3ai.io/effects-optimized/360-microwave_cover.webp?v=1756603061718,https://r2.veo3ai.io/effects-optimized/360-microwave_preview.gif?v=1756600362677,360° Microwave
35707136-3149-4876-bbf5-f2adf998a5ac,turn-to-red-petals,2025-08-27 08:26:46.845461+00,2025-08-31 01:18:13.044162+00,https://videocdn.pollo.ai/web-cdn/pollo/production/cmdfauqr805vitb2pm8oo46ho/image/1754902460450-08c39cfd-457f-4999-b2c3-8b52049f1b3a.jpg,https://videocdn.pollo.ai/web-cdn/pollo/production/cmdfauqr805vitb2pm8oo46ho/video/1754902457624-94359bc8-2e4e-4999-80e4-50598148216b.mp4,"{""color"": ""red"", ""effect_type"": ""dissolution"", ""particle_type"": ""petals""}","请你扮演一位创意文案编辑。我将提供一张参考图片和一段初始描述文本。

你的任务是，在完全保持初始描述文本的叙事结构、风格和镜头感的前提下，进行以下修改：

替换内容：将描述中的主体从修改为图片的主体，并将场景从 修改为图片的场景。

A black motorcycle travels along a sun-drenched suburban highway, the riders dressed in dark riding clothes and black helmets. Their focused stance conveys a sense of speed, appearing silhouetted against the bright sunlight, while the background is blurred by the rapid movement. The background is a calm and saturated afternoon hue.
The camera angle is low and slightly tilted, giving the motorcycle a dynamic look in the frame. Without warning, the rider and the motorcycle suddenly burst apart into a myriad of bright red petals. Their entities instantly drift backwards and disappear, and the entire structure instantly disintegrates, leaving only countless floating petals that slowly dissipate in the sunlight.
The roads, shadows and lights of the suburb must remain completely unchanged throughout the effect. The bright red petals should float slowly and not glow or reflect. Make sure that the simultaneous dissolution looks smooth and grand in scale, with no distortion in the background.",created,,,1,en,Turn to Red Petals,Transform any subject in your image into a burst of vibrant red petals. Watch as the subject dramatically dissolves into countless floating petals that drift away in the sunlight.,"{""tags"": [""transformation"", ""particles"", ""dramatic"", ""artistic""], ""difficulty"": ""medium"", ""recommended_duration"": ""3-5 seconds""}",10,hailuo_prompt,,1,https://r2.veo3ai.io/effects-optimized/turn-to-red-petals_cover.webp?v=1756603092629,https://r2.veo3ai.io/effects-optimized/turn-to-red-petals_preview.gif?v=1756600362677,
35a525ed-4929-49be-9609-3df013ffaf8d,ride-my-porsche,2025-08-30 10:21:02.505+00,2025-08-31 10:44:34.862199+00,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_car_250706.png,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_car_250706.mp4,"{""duration"": 5, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""max_images"": 1}",Ride My Porsche,online,true,viral,0,en,Ride My Porsche: Luxury Car Arrival Video,Watch a luxury Porsche arrive as you step into the driver's seat. Create aspirational automotive videos for free with Veo3 AI!,"{""cta"": {""title"": ""Ready to Create Your Ride My Porsche Video?"", ""buttonText"": ""Try Ride My Porsche Free""}, ""faq"": [{""answer"": ""Veo3 AI's Ride My Porsche effect supports JPG, PNG, or WebP images featuring people. Clear, high-resolution photos with good lighting ensure the best results."", ""question"": ""What types of photos work for Ride My Porsche?""}, {""answer"": ""Veo3 AI creates a 5-second video by applying the Ride My Porsche transformation to your uploaded photo, generating cinematic, high-quality visuals with seamless AI processing."", ""question"": ""How does the Ride My Porsche effect work?""}, {""answer"": ""Yes, Veo3 AI's Ride My Porsche effect is free to try! Upload your photo and our AI crafts a stunning 5-second video, ready for instant download and sharing."", ""question"": ""Can I try the Ride My Porsche effect for free?""}, {""answer"": ""We support JPG, PNG, and WebP formats. For optimal results, use high-resolution images with clear subjects and good lighting."", ""question"": ""What file formats are supported?""}], ""seo"": {""title"": ""Ride My Porsche AI Video Effect - Get into a luxury Porsche sports car"", ""description"": ""Create amazing ride my porsche videos with AI. Transform your photos into get into a luxury porsche sports car effects for free with Veo3 AI!""}, ""tips"": [{""title"": ""Best Image Quality"", ""description"": ""Use high-resolution images with good lighting for optimal Ride My Porsche results.""}, {""title"": ""Perfect Subject"", ""description"": ""Make sure your subject is clearly visible and well-positioned in the frame.""}, {""title"": ""Creative Results"", ""description"": ""Experiment with different images to discover unique Ride My Porsche variations!""}], ""howToUse"": {""steps"": [{""title"": ""Upload Your Image"", ""number"": 1, ""description"": ""Choose a high-quality image that will work best with the Ride My Porsche effect.""}, {""title"": ""Apply the Effect"", ""number"": 2, ""description"": ""Our AI will automatically process your image and apply the Ride My Porsche transformation.""}, {""title"": ""Download Your Video"", ""number"": 3, ""description"": ""Preview and download your amazing Ride My Porsche video in high quality.""}]}, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""chinese_name"": """", ""is_first_batch"": true, ""technicalSpecs"": {""outputSpecs"": {""Audio"": ""Optional background music"", ""Format"": ""MP4"", ""Frame Rate"": ""30fps"", ""Aspect Ratio"": ""Various ratios supported""}, ""effectDetails"": {""Quality"": ""360p, 540p, 720p, 1080p"", ""Duration"": ""5 seconds (fixed)"", ""Subject Type"": ""人物"", ""Subject Count"": ""1人最佳"", ""Processing Time"": ""~16 seconds""}}, ""is_fixed_duration"": true, ""usage_instructions"": ""主体类型：人物\n主体数量：1人最佳"", ""processing_time_360p"": 16}",10,pixverse_template,347130807494528,1,https://r2.veo3ai.io/effects-optimized/ride-my-porsche_cover.webp?v=1756603092246,https://r2.veo3ai.io/effects-optimized/ride-my-porsche_preview.gif?v=1756600362677,Ride My Porsche
3af8407f-6f1b-4512-8f19-441ef9a1fc79,petals-of-goodbye,2025-08-30 10:21:02.504+00,2025-08-31 10:44:34.862199+00,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_petal_250807.jpg,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_petal_250807.mp4,"{""duration"": 5, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""max_images"": 1}",Petals of Goodbye,online,true,creative-fashion,0,en,Petals of Goodbye: Dissolve into Flower Petals Effect,Watch your subject transform into beautiful flower petals that scatter in the wind. Create poetic disappearing effects for free with Veo3 AI!,"{""cta"": {""title"": ""Ready to Create Your Petals of Goodbye Video?"", ""buttonText"": ""Try Petals of Goodbye Free""}, ""faq"": [{""answer"": ""Veo3 AI's Petals of Goodbye effect supports JPG, PNG, or WebP images featuring any subjects. Clear, high-resolution photos with good lighting ensure the best results."", ""question"": ""What types of photos work for Petals of Goodbye?""}, {""answer"": ""Veo3 AI creates a 5-second video by applying the Petals of Goodbye transformation to your uploaded photo, generating cinematic, high-quality visuals with seamless AI processing."", ""question"": ""How does the Petals of Goodbye effect work?""}, {""answer"": ""Yes, Veo3 AI's Petals of Goodbye effect is free to try! Upload your photo and our AI crafts a stunning 5-second video, ready for instant download and sharing."", ""question"": ""Can I try the Petals of Goodbye effect for free?""}, {""answer"": ""We support JPG, PNG, and WebP formats. For optimal results, use high-resolution images with clear subjects and good lighting."", ""question"": ""What file formats are supported?""}], ""seo"": {""title"": ""Petals of Goodbye AI Video Effect - Transform into flower petals and scatter away"", ""description"": ""Create amazing petals of goodbye videos with AI. Transform your photos into transform into flower petals and scatter away effects for free with Veo3 AI!""}, ""tips"": [{""title"": ""Best Image Quality"", ""description"": ""Use high-resolution images with good lighting for optimal Petals of Goodbye results.""}, {""title"": ""Perfect Subject"", ""description"": ""Make sure your subject is clearly visible and well-positioned in the frame.""}, {""title"": ""Creative Results"", ""description"": ""Experiment with different images to discover unique Petals of Goodbye variations!""}], ""howToUse"": {""steps"": [{""title"": ""Upload Your Image"", ""number"": 1, ""description"": ""Choose a high-quality image that will work best with the Petals of Goodbye effect.""}, {""title"": ""Apply the Effect"", ""number"": 2, ""description"": ""Our AI will automatically process your image and apply the Petals of Goodbye transformation.""}, {""title"": ""Download Your Video"", ""number"": 3, ""description"": ""Preview and download your amazing Petals of Goodbye video in high quality.""}]}, ""qualities"": [""360p"", ""540p"", ""720p"", ""1080p""], ""chinese_name"": """", ""is_first_batch"": true, ""technicalSpecs"": {""outputSpecs"": {""Audio"": ""Optional background music"", ""Format"": ""MP4"", ""Frame Rate"": ""30fps"", ""Aspect Ratio"": ""Various ratios supported""}, ""effectDetails"": {""Quality"": ""360p, 540p, 720p, 1080p"", ""Duration"": ""5 seconds (fixed)"", ""Subject Type"": ""任意主体"", ""Subject Count"": ""任意数量"", ""Processing Time"": ""15-30 seconds""}}, ""is_fixed_duration"": true, ""usage_instructions"": ""主体类型：任意主体\n主体数量：任意数量"", ""processing_time_360p"": null}",10,pixverse_template,352956065691584,1,https://r2.veo3ai.io/effects-optimized/petals-of-goodbye_cover.webp?v=1756602651489,https://r2.veo3ai.io/effects-optimized/petals-of-goodbye_preview.gif?v=1756600362677,Petals of Goodbye
