中文名,Template_name,title_en,description_en,title_ru,description_ru
小猫小猫哪里藏,Kitten Hide and Seek,"Kitten Hide and Seek: Reveal Multiple Cats Magic Video | Veo3 AI","Transform your image into a magical video where opening reveals multiple adorable kittens. Create surprising cat transformation clips for free with Veo3 AI!","Kitten Hide and Seek: Магическое видео с множеством котят | Veo3 AI","Превратите ваше изображение в волшебное видео, где при открытии появляется множество очаровательных котят. Создавайте удивительные клипы с трансформацией котов бесплатно с Veo3 AI!"
影分身,Ninja Shadow Clone,"Ninja Shadow Clone: Create Naruto-Style Clone Videos | Veo3 AI","Recreate the iconic Naruto shadow clone jutsu with your photos! Generate epic ninja multiplication effects for free with Veo3 AI's advanced video technology.","Ninja Shadow Clone: Создайте видео с клонами в стиле Наруто | Veo3 AI","Воссоздайте культовую технику теневого клонирования из Наруто с вашими фото! Генерируйте эпические эффекты умножения ниндзя бесплатно с продвинутой видео технологией Veo3 AI."
大佛庇佑,Buddha's Blessing,"Buddha's Blessing: Divine Protection Video Effect | Veo3 AI","Transform your photo into a spiritual video with Buddha's divine appearance and blessing. Create reverent, peaceful clips for free with Veo3 AI!","Buddha's Blessing: Видео эффект божественной защиты | Veo3 AI","Превратите вашу фотографию в духовное видео с божественным появлением Будды и благословением. Создавайте благоговейные, мирные клипы бесплатно с Veo3 AI!"
花式退场,Petals of Goodbye,"Petals of Goodbye: Dissolve into Flower Petals Effect | Veo3 AI","Watch your subject transform into beautiful flower petals that scatter in the wind. Create poetic disappearing effects for free with Veo3 AI!","Petals of Goodbye: Эффект растворения в лепестках | Veo3 AI","Наблюдайте, как ваш объект превращается в красивые лепестки цветов, разлетающиеся по ветру. Создавайте поэтические эффекты исчезновения бесплатно с Veo3 AI!"
万物皆可竖中指,Middle Finger Up,"Middle Finger Up: Bold Gesture Zoom Effect | Veo3 AI","Create edgy videos with dramatic zoom-in to a rebellious middle finger gesture. Generate viral-worthy bold content for free with Veo3 AI!","Middle Finger Up: Эффект дерзкого жеста с зумом | Veo3 AI","Создавайте дерзкие видео с драматическим приближением к бунтарскому жесту среднего пальца. Генерируйте смелый контент для вирусных видео бесплатно с Veo3 AI!"
霸道警官爱上我,Officer Crush,"Officer Crush: Romantic Police Officer Video | Veo3 AI","Transform into a romantic storyline with a charming police officer. Create captivating love story videos for free with Veo3 AI!","Officer Crush: Романтическое видео с полицейским | Veo3 AI","Превратитесь в романтическую историю с очаровательным полицейским. Создавайте захватывающие видео любовных историй бесплатно с Veo3 AI!"
生日贺卡,Birthday Surprise,"Birthday Surprise: Animated Birthday Card Video | Veo3 AI","Turn your photo into a magical birthday celebration video with cake and wishes. Create personalized birthday greetings for free with Veo3 AI!","Birthday Surprise: Анимированная видео открытка на день рождения | Veo3 AI","Превратите вашу фотографию в волшебное видео празднования дня рождения с тортом и пожеланиями. Создавайте персонализированные поздравления бесплатно с Veo3 AI!"
和emoji的自己同框,Hi-Five Emoji Twin,"Hi-Five Emoji Twin: Meet Your Emoji Double Video | Veo3 AI","Create fun videos where you high-five your emoji version! Generate entertaining emoji twin interactions for free with Veo3 AI.","Hi-Five Emoji Twin: Встретьте своего эмодзи двойника | Veo3 AI","Создавайте веселые видео, где вы даете пять своей эмодзи версии! Генерируйте развлекательные взаимодействия с эмодзи двойником бесплатно с Veo3 AI."
肌肉加强版,Muscle Max: Bodybuilder Champion,"Muscle Max: Instant Bodybuilder Transformation | Veo3 AI","Watch as your photo transforms into a muscular bodybuilder champion. Create impressive muscle transformation videos for free with Veo3 AI!","Muscle Max: Мгновенная трансформация в бодибилдера | Veo3 AI","Наблюдайте, как ваша фотография превращается в мускулистого чемпиона по бодибилдингу. Создавайте впечатляющие видео трансформации мышц бесплатно с Veo3 AI!"
很多帅哥来亲我,My Boyfriendsssss,"My Boyfriendsssss: Multiple Handsome Admirers Video | Veo3 AI","Create dreamy videos with multiple handsome guys showing affection. Generate romantic fantasy clips for free with Veo3 AI!","My Boyfriendsssss: Видео с множеством красивых поклонников | Veo3 AI","Создавайте мечтательные видео с множеством красивых парней, проявляющих нежность. Генерируйте романтические фантазийные клипы бесплатно с Veo3 AI!"
很多美女来亲我,My Girlfriendssss,"My Girlfriendssss: Multiple Beautiful Admirers Video | Veo3 AI","Transform your photo into a fantasy with multiple beautiful admirers. Create romantic dream sequences for free with Veo3 AI!","My Girlfriendssss: Видео с множеством красивых поклонниц | Veo3 AI","Превратите вашу фотографию в фантазию с множеством красивых поклонниц. Создавайте романтические последовательности мечты бесплатно с Veo3 AI!"
earth zoom 运镜,Earth Zoom Challenge,"Earth Zoom Challenge: Space to Subject Epic Zoom | Veo3 AI","Experience an incredible zoom from outer space directly to your photo subject. Create cinematic earth zoom effects for free with Veo3 AI!","Earth Zoom Challenge: Эпический зум от космоса до объекта | Veo3 AI","Испытайте невероятный зум от космоса прямо к объекту вашей фотографии. Создавайте кинематографические эффекты зума с Земли бесплатно с Veo3 AI!"
登上豪华飞机,Private Airplane,"Private Airplane: Board Your Luxury Jet Video | Veo3 AI","Step into luxury as a private jet arrives for your exclusive boarding. Create aspirational travel videos for free with Veo3 AI!","Private Airplane: Видео посадки на роскошный самолет | Veo3 AI","Шагните в роскошь, когда частный самолет прибывает для вашей эксклюзивной посадки. Создавайте вдохновляющие видео о путешествиях бесплатно с Veo3 AI!"
坐上豪车,Ride My Porsche,"Ride My Porsche: Luxury Car Arrival Video | Veo3 AI","Watch a luxury Porsche arrive as you step into the driver's seat. Create aspirational automotive videos for free with Veo3 AI!","Ride My Porsche: Видео прибытия роскошного автомобиля | Veo3 AI","Наблюдайте, как роскошный Porsche прибывает, когда вы садитесь за руль. Создавайте вдохновляющие автомобильные видео бесплатно с Veo3 AI!"
李羲承进行曲,Li Xi Cheng March,"Li Xi Cheng March: Epic 13-Second Dance Video | Veo3 AI","Transform into an energetic 13-second dance performance with epic marching vibes. Create dynamic dance videos for free with Veo3 AI!","Li Xi Cheng March: Эпическое 13-секундное танцевальное видео | Veo3 AI","Превратитесь в энергичное 13-секундное танцевальное выступление с эпической маршевой атмосферой. Создавайте динамичные танцевальные видео бесплатно с Veo3 AI!"
粒子化泯灭,Dust Me Away,"Dust Me Away: Particle Disintegration Effect | Veo3 AI","Watch your subject dissolve into particles and scatter into nothingness. Create dramatic vanishing effects for free with Veo3 AI!","Dust Me Away: Эффект распада на частицы | Veo3 AI","Наблюдайте, как ваш объект растворяется в частицы и рассеивается в ничто. Создавайте драматические эффекты исчезновения бесплатно с Veo3 AI!"
液态金属,Liquid Metal,"Liquid Metal: Terminator-Style Transformation | Veo3 AI","Experience futuristic liquid metal flowing across faces for stunning transformations. Create sci-fi metallic effects for free with Veo3 AI!","Liquid Metal: Трансформация в стиле Терминатора | Veo3 AI","Испытайте футуристический жидкий металл, текущий по лицам для потрясающих трансформаций. Создавайте научно-фантастические металлические эффекты бесплатно с Veo3 AI!"
